OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
FOTU_14,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_14_unidentified
FOTU_1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1_Fungi
FOTU_4,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4_Fungi
FOTU_3,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_3_Fungi
FOTU_2,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_2_Fungi
FOTU_8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella_ornata,FOTU_8_Westerdykella_ornata
FOTU_6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified,FOTU_6_Fusarium
FOTU_7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,unidentified,unidentified,FOTU_7_Bionectriaceae
FOTU_5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Condenascus,Condenascus_tortuosus,FOTU_5_Condenascus_tortuosus
FOTU_10,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_10_Fungi
FOTU_11,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_11_Fungi
FOTU_13,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Paracremonium,Paracremonium_binnewijzendii,FOTU_13_Paracremonium_binnewijzendii
FOTU_17,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,unidentified,FOTU_17_Clonostachys
FOTU_18,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified,FOTU_18_Mortierella
FOTU_12,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,unidentified,unidentified,FOTU_12_Sporocadaceae
FOTU_9,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,Nectriaceae_sp,FOTU_9_Nectriaceae
FOTU_15,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,unidentified,FOTU_15_Didymella
FOTU_16,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,FOTU_16_Fusicolla_aquaeductuum
FOTU_21,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_21_unidentified
FOTU_20,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified,FOTU_20_Mortierella
FOTU_19,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_violacea,FOTU_19_Fusicolla_violacea
FOTU_32,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,unidentified,Powellomycetaceae_sp,FOTU_32_Powellomycetaceae
FOTU_23,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Robillarda,Robillarda_sessilis,FOTU_23_Robillarda_sessilis
FOTU_24,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_24_Dothideomycetes
FOTU_26,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,unidentified,FOTU_26_Coniochaeta
FOTU_35,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,FOTU_35_Pleosporales
FOTU_25,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_25_Fungi
FOTU_29,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_29_Sordariomycetes
FOTU_30,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp,FOTU_30_Acremonium_sp
FOTU_38,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_38_unidentified
FOTU_33,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp,FOTU_33_Pleosporales
FOTU_36,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_36_Fungi
FOTU_27,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Pseudophialophora,Pseudophialophora_tarda,FOTU_27_Pseudophialophora_tarda
FOTU_40,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,unidentified,FOTU_40_Mock
FOTU_43,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock10,FOTU_43_mock10
FOTU_34,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_34_Fungi
FOTU_37,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unidentified,FOTU_37_Penicillium
FOTU_41,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_menonorum,FOTU_41_Penicillium_menonorum
FOTU_39,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_39_Fungi
FOTU_28,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,unidentified,FOTU_28_Helotiales
FOTU_44,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_flavus,FOTU_44_Aspergillus_flavus
FOTU_47,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp,FOTU_47_Pleosporales
FOTU_45,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_45_Fungi
FOTU_42,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_42_Ascomycota
FOTU_22,Fungi,Ascomycota,Leotiomycetes,unidentified,unidentified,unidentified,Leotiomycetes_sp,FOTU_22_Leotiomycetes
FOTU_52,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Hoehnelomycetaceae,Atractiella,Atractiella_rhizophila,FOTU_52_Atractiella_rhizophila
FOTU_49,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_49_Fungi
FOTU_50,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,FOTU_50_Mortierella_sp
FOTU_59,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock8,FOTU_59_mock8
FOTU_48,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,unidentified,unidentified,FOTU_48_Capnodiaceae
FOTU_57,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Sistotrema,unidentified,FOTU_57_Sistotrema
